,source,gender,birthday,year,zodiac_sign,age
0,Friend,Male,2002-02-05,2002,Aquarius,23
1,Work,Female,1964-12-18,1964,Sagittarius,61
2,Conference,Female,1958-03-03,1958,Pisces,67
3,Internet,Male,1996-04-29,1996,Taurus,29
4,Family,Female,1993-07-03,1993,Cancer,32
5,Work,Male,1986-02-23,1986,Pisces,39
6,College,Male,2000-07-09,2000,Cancer,25
7,College,Male,1998-12-23,1998,Capricorn,27
8,Family,Female,2009-10-13,2009,Libra,16
10,Internet,Male,1994-04-01,1994,Aries,31
11,Internet,Female,1995-11-15,1995,Scorpio,30
12,Internet,Male,1997-01-09,1997,Capricorn,28
